time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.975935459136962891e+00
2.000000000000000042e-03,-2.634972005932309513e-04,5.462024548645513788e-04,-2.634892617709542750e-01,5.461866045881321741e-01,0.000000000000000000e+00,2.650381565093994141e+00
4.000000000000000083e-03,-1.025067847243156006e-03,2.124866951347476919e-03,-4.980581509049423761e-01,1.032431491028243720e+00,0.000000000000000000e+00,2.621274232864379883e+00
6.000000000000000125e-03,-2.253029722073371290e-03,4.670340680466246973e-03,-7.298653592577818428e-01,1.512965579472248745e+00,0.000000000000000000e+00,2.554908752441406250e+00
8.000000000000000167e-03,-3.938467999465772480e-03,8.164178572770465839e-03,-9.555185190244805948e-01,1.980763539568651810e+00,0.000000000000000000e+00,2.537247419357299805e+00
1.000000000000000021e-02,-6.073288491354003962e-03,1.258965014638485994e-02,-1.179230178076258184e+00,2.444564356424995033e+00,0.000000000000000000e+00,2.635278940200805664e+00
1.200000000000000025e-02,-8.663742165286481001e-03,1.795977486025844214e-02,-1.411131643755024534e+00,2.925376349877566007e+00,0.000000000000000000e+00,2.714469194412231445e+00
1.400000000000000029e-02,-1.172441266063147663e-02,2.430485994914556927e-02,-1.649423472402059776e+00,3.419477338491329288e+00,0.000000000000000000e+00,2.779389381408691406e+00
1.600000000000000033e-02,-1.526666734932425988e-02,3.164856222405454389e-02,-1.892688265323549501e+00,3.923937902867436378e+00,0.000000000000000000e+00,2.822445631027221680e+00
1.800000000000000211e-02,-1.929834179480441336e-02,4.000723570366407356e-02,-2.138811218713367879e+00,4.434383862767260709e+00,0.000000000000000000e+00,2.853972911834716797e+00
2.000000000000000389e-02,-2.382392935581383042e-02,4.939032648532222514e-02,-2.386564472641450330e+00,4.948280537511504207e+00,0.000000000000000000e+00,2.878242969512939453e+00
2.200000000000000566e-02,-2.884581555421560778e-02,5.980293345140304251e-02,-2.635067620837820535e+00,5.463814516398183940e+00,0.000000000000000000e+00,2.895291328430175781e+00
2.400000000000000744e-02,-3.436459612154193349e-02,7.124646968279453596e-02,-2.883411003196891809e+00,5.979112846760919808e+00,0.000000000000000000e+00,2.910132408142089844e+00
2.600000000000000921e-02,-4.037945631293232002e-02,8.371945102418355822e-02,-3.131093454777844176e+00,6.493150536188543320e+00,0.000000000000000000e+00,2.925467491149902344e+00
2.800000000000001099e-02,-4.688878072369103561e-02,9.721876264708324833e-02,-3.377815174594662295e+00,7.005321284144270244e+00,0.000000000000000000e+00,2.943588495254516602e+00
3.000000000000001277e-02,-5.389051705942953657e-02,1.117404157869926751e-01,-3.623438777894131935e+00,7.515356857904741616e+00,0.000000000000000000e+00,2.947366476058959961e+00
3.200000000000001454e-02,-6.138079688972474662e-02,1.272766912435253084e-01,-3.866286914902466343e+00,8.019797926049788472e+00,0.000000000000000000e+00,2.946717262268066406e+00
3.400000000000001632e-02,-6.935324017550605069e-02,1.438147000811775267e-01,-4.105525497678635283e+00,8.516934440854036836e+00,0.000000000000000000e+00,2.945971012115478516e+00
3.600000000000001810e-02,-7.780014948641895967e-02,1.613388616883838222e-01,-4.340671588663263414e+00,9.005785531790881038e+00,0.000000000000000000e+00,2.945124864578247070e+00
3.800000000000001987e-02,-8.671283522330332227e-02,1.798315803985178485e-01,-4.571216787990983299e+00,9.485318725897682768e+00,0.000000000000000000e+00,2.944175004959106445e+00
4.000000000000002165e-02,-9.608157005865987366e-02,1.992731533249539055e-01,-4.796632815072459977e+00,9.954461431474618038e+00,0.000000000000000000e+00,2.943117618560791016e+00
4.200000000000002343e-02,-1.058955559084996112e-01,2.196417039696571261e-01,-5.016378446808589686e+00,1.041211520402953639e+01,0.000000000000000000e+00,2.944029331207275391e+00
4.400000000000002520e-02,-1.161430830353271659e-01,2.409135139842326356e-01,-5.230084249291325982e+00,1.085753869051328380e+01,0.000000000000000000e+00,2.946239233016967773e+00
4.600000000000002698e-02,-1.268116436746889730e-01,2.630632604617204606e-01,-5.437323158203373197e+00,1.128987182685272650e+01,0.000000000000000000e+00,2.949006557464599609e+00
4.800000000000002875e-02,-1.378878213673613018e-01,2.860637878356448449e-01,-5.637615258771689675e+00,1.170814554086655690e+01,0.000000000000000000e+00,2.951786041259765625e+00
