time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.297855973243713379e+00
2.000000000000000042e-03,2.034582515870140282e-04,-4.217479206851519635e-04,2.034521307803766887e-01,-4.217357005815514093e-01,0.000000000000000000e+00,-2.072929501533508301e+00
4.000000000000000083e-03,7.938438382886949928e-04,-1.645561820343552232e-03,3.869155593068721588e-01,-8.020424625894156945e-01,0.000000000000000000e+00,-2.044849991798400879e+00
6.000000000000000125e-03,1.748539822233497344e-03,-3.624575472364230735e-03,5.677510599901134380e-01,-1.176912534216538297e+00,0.000000000000000000e+00,-2.016598463058471680e+00
8.000000000000000167e-03,3.062205593297555317e-03,-6.347744937172725491e-03,7.458734644959313931e-01,-1.546174504434673524e+00,0.000000000000000000e+00,-1.988970637321472168e+00
1.000000000000000021e-02,4.729397844900647477e-03,-9.803823709249148699e-03,9.212650676490471424e-01,-1.909796856813449573e+00,0.000000000000000000e+00,-1.966780185699462891e+00
1.200000000000000025e-02,6.745060204465814710e-03,-1.398237780444904627e-02,1.094330327033422368e+00,-2.268623259087697797e+00,0.000000000000000000e+00,-1.949701309204101562e+00
1.400000000000000029e-02,9.104911368082044265e-03,-1.887459053358787539e-02,1.265439668885630198e+00,-2.623426962387310990e+00,0.000000000000000000e+00,-1.933483600616455078e+00
1.600000000000000033e-02,1.180502855609301752e-02,-2.447239934219387278e-02,1.434581047239310125e+00,-2.974188557208242489e+00,0.000000000000000000e+00,-1.917367458343505859e+00
1.800000000000000211e-02,1.484139088896507808e-02,-3.076754963279576191e-02,1.601668297711111411e+00,-3.320735184896013603e+00,0.000000000000000000e+00,-1.902004837989807129e+00
2.000000000000000389e-02,1.820985547933171717e-02,-3.775154560981533458e-02,1.766665479911110559e+00,-3.662998308570779127e+00,0.000000000000000000e+00,-1.884502172470092773e+00
2.200000000000000566e-02,2.190594377820823113e-02,-4.541520783535149541e-02,1.929272849187336325e+00,-4.000362775450895469e+00,0.000000000000000000e+00,-1.867536306381225586e+00
2.400000000000000744e-02,2.592480665164009074e-02,-5.374860129633466516e-02,2.089419515171671904e+00,-4.332688061444511796e+00,0.000000000000000000e+00,-1.851528167724609375e+00
2.600000000000000921e-02,3.026148217878117663e-02,-6.274157027918821072e-02,2.247063556178736654e+00,-4.659893939860668688e+00,0.000000000000000000e+00,-1.836720228195190430e+00
2.800000000000001099e-02,3.491093764675269606e-02,-7.238382592875051980e-02,2.402176095951140233e+00,-4.981927485133478939e+00,0.000000000000000000e+00,-1.823552727699279785e+00
3.000000000000001277e-02,3.986811299673837655e-02,-8.266503683819743931e-02,2.554758667716560794e+00,-5.298799078795942918e+00,0.000000000000000000e+00,-1.850864768028259277e+00
3.200000000000001454e-02,4.513136117502605793e-02,-9.358196151419402586e-02,2.708220929246310860e+00,-5.617584552061062553e+00,0.000000000000000000e+00,-1.899264335632324219e+00
3.400000000000001632e-02,5.070411855116515459e-02,-1.051419124597276211e-01,2.864236340196757880e+00,-5.941761456376535300e+00,0.000000000000000000e+00,-1.950499892234802246e+00
3.600000000000001810e-02,5.659153774747258114e-02,-1.173557777224082943e-01,3.022847972313095877e+00,-6.271428361382397121e+00,0.000000000000000000e+00,-2.001771211624145508e+00
3.800000000000001987e-02,6.279859017493698292e-02,-1.302340890470955748e-01,3.183831500514870516e+00,-6.606130313248937291e+00,0.000000000000000000e+00,-2.052905559539794922e+00
4.000000000000002165e-02,6.932976200502832809e-02,-1.437863932472271400e-01,3.346925919857981491e+00,-6.945337154036093530e+00,0.000000000000000000e+00,-2.104131460189819336e+00
4.200000000000002343e-02,7.618901526662083534e-02,-1.580211732764480737e-01,3.511868021234300308e+00,-7.288515041245388737e+00,0.000000000000000000e+00,-2.156700611114501953e+00
4.400000000000002520e-02,8.337987150811006221e-02,-1.729460235086177633e-01,3.678480390770305419e+00,-7.635308952842375874e+00,0.000000000000000000e+00,-2.213160753250122070e+00
4.600000000000002698e-02,9.090569312406063252e-02,-1.885682350007933106e-01,3.846780956069689061e+00,-7.985769922828903411e+00,0.000000000000000000e+00,-2.271418690681457520e+00
4.800000000000002875e-02,9.876966957508231948e-02,-2.048947691355522682e-01,4.016579042574802472e+00,-8.339517634373478927e+00,0.000000000000000000e+00,-2.320444822311401367e+00
5.000000000000003053e-02,1.069736387040170073e-01,-2.219298158947023425e-01,4.186715534300793351e+00,-8.694164745549244344e+00,0.000000000000000000e+00,-2.366950392723083496e+00
5.200000000000003231e-02,1.155176870833867359e-01,-2.396739669409116147e-01,4.356598058751428582e+00,-9.048499841243987873e+00,0.000000000000000000e+00,-2.414544582366943359e+00
5.400000000000003408e-02,1.244010102530763440e-01,-2.581260010928244641e-01,4.525927891306984918e+00,-9.401921371688965579e+00,0.000000000000000000e+00,-2.462420940399169922e+00
5.600000000000003586e-02,1.336221226332147127e-01,-2.772833215799790918e-01,4.694323275708691234e+00,-9.753656615363222926e+00,0.000000000000000000e+00,-2.509839534759521484e+00
5.800000000000003764e-02,1.431787023446797757e-01,-2.971416361970643516e-01,4.861330456871743699e+00,-1.010278448170805810e+01,0.000000000000000000e+00,-2.558588504791259766e+00
6.000000000000003941e-02,1.530676625783198852e-01,-3.176951072027834333e-01,5.026638571425671387e+00,-1.044868117612886671e+01,0.000000000000000000e+00,-2.595935583114624023e+00
6.200000000000004119e-02,1.632842457567521555e-01,-3.389344739672436879e-01,5.188891836063668883e+00,-1.078855603387850870e+01,0.000000000000000000e+00,-2.631862163543701172e+00
6.400000000000004297e-02,1.738218325493716687e-01,-3.608466574272609639e-01,5.347583166816356481e+00,-1.112137902159026837e+01,0.000000000000000000e+00,-2.669193863868713379e+00
